"","agegroup1","N","Nly","mean_overall","mean_lasty","mean_oly","lCI_1","uCI_1","lCI_2","uCI_2","lCI_3","uCI_3"
"1","20-24",681,424,0.662261380323054,0.575471698113208,0.381112681129305,0.625169936062296,0.697494981107161,0.526768573959234,0.622785733104548,0.335007132708289,0.429407337484027
"2","25-29",592,440,0.797297297297297,0.602272727272727,0.480190417690418,0.762155758586339,0.828505934844624,0.554697949473582,0.64803336697259,0.432759629625193,0.527972421560963
"3","30-39",1506,1190,0.843957503320053,0.529411764705882,0.44680103116944,0.824409746831304,0.861723383183597,0.500583357244688,0.558048094147497,0.41835390704871,0.475595599303728
"4","40-64",4890,4107,0.88159509202454,0.442171901631361,0.389816578309366,0.87213309528644,0.890451258694017,0.426922665225441,0.457530081155525,0.374889583275594,0.404951179544947
"5","65-84",2253,1638,0.766977363515313,0.283272283272283,0.217263428981139,0.748848033108741,0.784186287798511,0.261680783668753,0.305892116452731,0.197672278033967,0.238197820042197
