"","x"
"1",4.19156441043233
"2",0.466420372080749
"3",0.214553371157145
"4",0.363807890222985
"5",0.14303558077143
"6",0.0839556669745349
"7",0.2487575317764
"8",0.0870651361217399
"9",0.1243787658882
"10",0.0839556669745349
"11",0
"12",0
"13",0.419778334872674
